Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Pubmed IDs	CCDS IDs	UniProt ID(supplied by UniProt)
KIAA1024	KIAA1024				10470851	CCDS32306	Q9UPX6
KIAA1024L	KIAA1024-like					CCDS58966	P59773
KIAA1033	KIAA1033		SWIP	"strumpellin and WASH-interacting protein"	20376207, 20498093, 21498477	CCDS41826, CCDS73514	Q2M389
KIAA1107	KIAA1107				10470851	CCDS44172	Q9UPP5
KIAA1109	KIAA1109		FLJ21404, FSA, KIAA1371, Tweek	"fragile site-associated"	16386706	CCDS43267	Q2LD37
KIAA1143	KIAA1143				10574461	CCDS2721	Q96AT1
KIAA1147	KIAA1147		LCHN			CCDS47726	A4D1U4
KIAA1161	KIAA1161		NET37		10574461	CCDS78391	Q6NSJ0
KIAA1191	KIAA1191		FLJ21022, p33MONOX		10574461, 10565538, 21153684	CCDS4399, CCDS43402, CCDS75373	Q96A73
KIAA1210	KIAA1210				10574462	CCDS48156	Q9ULL0
KIAA1211	KIAA1211				10574462, 11230166	CCDS43230	Q6ZU35
KIAA1211L	KIAA1211-like	C2orf55	MGC42367			CCDS42720	Q6NV74
KIAA1217	KIAA1217		DKFZP761L0424, SKT	"sickle tail"	10574462	CCDS31165, CCDS41496, CCDS60501, CCDS60502, CCDS60504, CCDS60505	Q5T5P2
KIAA1257	KIAA1257				10574462	CCDS46905	Q9ULG3
KIAA1324	KIAA1324		maba1, EIG121	"estrogen induced gene 121"	10718198, 16322283	CCDS794, CCDS58015	Q6UXG2
KIAA1324L	KIAA1324-like		FLJ31340, EIG121L	"EIG121-like"		CCDS34677, CCDS47632, CCDS34677	A8MWY0
KIAA1328	KIAA1328			"hinderin"	15656913	CCDS45855	Q86T90
KIAA1429	KIAA1429		DKFZP434I116, fSAP121	"functional spliceosome-associated protein 121"	10718198, 24981863	CCDS34923, CCDS47894	Q69YN4
KIAA1456	KIAA1456	C8orf79	FLJ36980		23381944	CCDS47808	Q8N9K7
KIAA1462	KIAA1462		JCAD	"junctional protein associated with coronary artery disease"	10819331, 21884682	CCDS41500	Q9P266
KIAA1468	KIAA1468		HsT885, HsT3308, FLJ33841		11973628	CCDS11979	Q9P260
KIAA1522	KIAA1522				10819331	CCDS41298, CCDS55588, CCDS55589	Q9P206
KIAA1524	KIAA1524		CIP2A	"cancerous inhibitor of protein phosphatase 2A"	10819331, 24214971	CCDS33812	Q8TCG1
KIAA1549	KIAA1549					CCDS47723, CCDS47723, CCDS56513	Q9HCM3
KIAA1549L	KIAA1549-like	C11orf69, C11orf41	G2, MGC34830			CCDS44565, CCDS44565	Q6ZVL6
KIAA1551	KIAA1551	C12orf35	FLJ20696, FLJ10652, UTA2-1		10997877, 23079962	CCDS8725	Q9HCM1
KIAA1586	KIAA1586				10997877	CCDS34480, CCDS69138	Q9HCI6
KIAA1614	KIAA1614					CCDS41442	Q5VZ46
KIAA1614-AS1	KIAA1614 antisense RNA 1		RP11-46A10.4		24886442		
KIAA1644	KIAA1644				11258795, 22120523	CCDS43025	Q3SXP7
KIAA1671	KIAA1671				15289310	CCDS46676	Q9BY89
KIAA1683	KIAA1683				11214970, 11230166	CCDS32958, CCDS46017, CCDS46018	Q9H0B3
KIAA1715	KIAA1715		ulnaless, Ul, LNP1, LNP	"lunapark", "limb and neural patterns"	11214970, 22729086	CCDS33332, CCDS77488, CCDS77489	Q9C0E8
KIAA1755	KIAA1755		RP5-1054A22.3		11214970	CCDS33467	Q5JYT7
KIAA1841	KIAA1841				11347906	CCDS1867, CCDS46296	Q6NSI8
KIAA1919	KIAA1919		MGC33953, MFSD4B			CCDS5090	Q5TF39
KIAA1958	KIAA1958		FLJ39294			CCDS35108, CCDS69642	Q8N8K9
KIAA2012	KIAA2012					CCDS74631	Q0VF49
KIAA2013	KIAA2013		MGC33867, RP5-1077B9.1		12477932	CCDS141	Q8IYS2
KIAA2022	KIAA2022		XPN, MRX98	"XLMR-related protein, neurite extension"	15466006, 23615299	CCDS35337	Q5QGS0
KIAA2026	KIAA2026		FLJ20375				Q5HYC2
KIDINS220	kinase D-interacting substrate, 220kDa		ARMS	"ankyrin repeat-rich membrane-spanning protein"	10998417, 10574462	CCDS42650	Q9ULH0
KIF1A	kinesin family member 1A	ATSV, C2orf20, SPG30	UNC104		7539720, 10323250, 22258533	CCDS46561, CCDS58757	Q12756
KIF1B	kinesin family member 1B	CMT2A, CMT2	KIAA0591, KLP, HMSNII		11389829, 10762626	CCDS111, CCDS112	O60333
KIF1BP	KIF1 binding protein	KIAA1279	DKFZP586B0923, TTC20, KBP	"kinesin binding protein"	15883926, 16225668	CCDS7284	Q96EK5
KIF1C	kinesin family member 1C	SAX2	SPAX2, SPG58		9685376, 24319291, 24482476	CCDS11065	O43896
KIF2A	kinesin heavy chain member 2A	KIF2	HK2		9177777	CCDS3980, CCDS47216, CCDS58949	O00139
KIF2B	kinesin family member 2B				11416179	CCDS32685	Q8N4N8
KIF2C	kinesin family member 2C	KNSL6	MCAK, CT139		9434124	CCDS512, CCDS72774	Q99661
KIF3A	kinesin family member 3A		FLA10, KLP-20	"kinesin family protein 3A"	1054846	CCDS34235, CCDS75295, CCDS75296	Q9Y496
KIF3B	kinesin family member 3B		KIAA0359, FLA8, KLP-11		9205841	CCDS13200	O15066
KIF3C	kinesin family member 3C				9480755	CCDS1719	O14782
KIF4A	kinesin family member 4A		KIF4-G1, KIF4, HSA271784, FLJ12530, FLJ12655, FLJ14204, FLJ20631, MRX100	"chromokinesin"	10773663	CCDS14401	O95239
KIF4B	kinesin family member 4B					CCDS47324	Q2VIQ3
KIF4CP	kinesin family member 4C, pseudogene		KIF4P1		10978527		
KIF5A	kinesin family member 5A	SPG10	D12S1889, NKHC, MY050		9858832, 10441583, 16489470	CCDS8945	Q12840
KIF5B	kinesin family member 5B	KNS1	KNS		1607388	CCDS7171	P33176
KIF5C	kinesin family member 5C				7514426	CCDS74586	O60282
KIF6	kinesin family member 6	C6orf102	dJ1043E3.1, MGC33317, dJ137F1.4, dJ188D3.1, DKFZp451I2418			CCDS4844, CCDS75449	Q6ZMV9
KIF7	kinesin family member 7		JBTS12		11416179, 15547730	CCDS32325	Q2M1P5
KIF9	kinesin family member 9		MGC104186		11483511	CCDS2751, CCDS2752	Q9HAQ2
KIF9-AS1	KIF9 antisense RNA 1		FLJ39534				
KIF11	kinesin family member 11	KNSL1	Eg5, HKSP, TRIP5		1505978, 8548803	CCDS7422	P52732
KIF12	kinesin family member 12					CCDS6801	Q96FN5
KIF13A	kinesin family member 13A		bA500C11.2		11106728	CCDS47380, CCDS47381, CCDS54967, CCDS54968, CCDS58998	Q9H1H9
KIF13B	kinesin family member 13B		GAKIN, KIAA0639		9734811, 10859302, 16864656	CCDS55217	Q9NQT8
KIF14	kinesin family member 14		KIAA0042		7584044	CCDS30963	Q15058
KIF15	kinesin family member 15	KNSL7	HKLP2, NY-BR-62		10878014	CCDS33744	Q9NS87
KIF16B	kinesin family member 16B	C20orf23	FLJ20135, dJ971B4.1, SNX23		16084724, 16782399	CCDS13122, CCDS56178	Q96L93
KIF17	kinesin family member 17		KIAA1405, KIF3X, KIF17B, OSM-3, KLP-2	"kinesin-like protein KIF17", "KIF3-related motor protein", "KIF17 variant protein"	10846156	CCDS213, CCDS44079, CCDS72722	Q9P2E2
KIF18A	kinesin family member 18A		DKFZP434G2226, PPP1R99	"protein phosphatase 1, regulatory subunit 99"	11230166	CCDS7867	Q8NI77
KIF18B	kinesin family member 18B				16084724	CCDS45709, CCDS58555, CCDS45709	Q86Y91
KIF18BP1	kinesin family member 18B pseudogene 1						
KIF19	kinesin family member 19		FLJ37300, KIF19A		11416179	CCDS32718	Q2TAC6
KIF20A	kinesin family member 20A	RAB6KIFL			11416179, 10806357	CCDS4199	O95235
KIF20B	kinesin family member 20B	MPHOSPH1	MPP1, KRMP1, CT90	"cancer/testis antigen 90"	8885239, 8290587, 11470801	CCDS7407, CCDS60590	Q96Q89
KIF21A	kinesin family member 21A	FEOM1	FLJ20052		10225949	CCDS31773, CCDS53774, CCDS53775, CCDS53776	Q7Z4S6
KIF21B	kinesin family member 21B		DKFZP434J212, KIAA0449		9455484	CCDS30965, CCDS58054, CCDS58055, CCDS58056	O75037
KIF22	kinesin family member 22	KNSL4	Kid, OBP-1, OBP-2		8599929, 11416179	CCDS10653, CCDS58444	Q14807
KIF23	kinesin family member 23	KNSL5	MKLP1, MKLP-1		1406973	CCDS32278, CCDS32279	Q02241
KIF24	kinesin family member 24	C9orf48	bA571F15.4, FLJ10933, FLJ43884		12477932	CCDS6551	Q5T7B8
KIF25	kinesin family member 25	KNSL3			9925910	CCDS5305, CCDS43530	Q9UIL4
KIF25-AS1	KIF25 antisense RNA 1	C6orf54, NCRNA00300	HGC6.1.1		10382971		Q9Y6Z4
KIF26A	kinesin family member 26A		KIAA1236, DKFZP434N178		10574462, 11416179	CCDS45171	Q9ULI4
KIF26B	kinesin family member 26B		FLJ10157			CCDS44342	Q2KJY2
KIF27	kinesin family member 27		DKFZp434D0917			CCDS6665, CCDS65071, CCDS65072	Q86VH2
KIF28P	kinesin family member 28, pseudogene		KLP-6		16084724		B7ZC32
KIFAP3	kinesin-associated protein 3		SMAP, KAP3, FLA3, KAP-1	"Smg GDS"	8900189	CCDS1288, CCDS55659, CCDS55660, CCDS55661	Q92845
KIFC1	kinesin family member C1	KNSL2	HSET		8276466	CCDS34430	Q9BW19
KIFC2	kinesin family member C2				9115737	CCDS6427	Q96AC6
KIFC3	kinesin family member C3				9782090	CCDS10789, CCDS45493, CCDS45494	Q9BVG8
KIN	Kin17 DNA and RNA binding protein		KIN17, Rts2		1923796, 24140279	CCDS7080	O60870
KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1		cl-42, nkat1, 47.11, p58.1, CD158A		7749980, 7716543	CCDS12904	P43626
KIR2DL2	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2		cl-43, nkat6, CD158B1, CD158k		7749980, 8662091		P43627
KIR2DL3	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3		cl-6, nkat2, nkat2a, nkat2b, p58, CD158B2		7749980, 8662091	CCDS33107	P43628
KIR2DL4	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4		103AS, 15.212, CD158D		8946682	CCDS42619, CCDS42620	Q99706
KIR2DL5A	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A		KIR2DL5.1, KIR2DL5, CD158F		11086080, 12185535		Q8N109
KIR2DL5B	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5B		KIR2DL5.2, KIR2DL5, KIR2DL5.3, KIR2DL5.4		11086080, 12185535		Q8NHK3
KIR2DP1	killer cell immunoglobulin-like receptor, two domains, pseudogene 1		KIRZ, KIRY, KIR15, KIR2DL6				
KIR2DS1	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1		EB6ActI, EB6ActII, CD158H		8627176		Q14954
KIR2DS2	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2		cl-49, nkat5, 183ActI, CD158J		7749980, 7716543		P43631
KIR2DS3	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3		nkat7		8662091		Q14952
KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4		cl-39, KKA3, nkat8, CD158i		8765026, 7749980		P43632
KIR2DS5	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5		nkat9, CD158G		8662091		Q14953
KIR3DL1	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1	KIR	cl-2, NKB1, cl-11, nkat3, NKB1B, AMB11, CD158e1/2, CD158E1, CD158e2		7716543, 7749980	CCDS42621	P43629
KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2		cl-5, nkat4, nkat4a, nkat4b, CD158K		7716543, 8662091	CCDS12906, CCDS58677	P43630
KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3		KIRC1, KIR3DL7, KIR44, CD158z		11513144	CCDS12903	Q8N743
KIR3DP1	killer cell immunoglobulin-like receptor, three domains, pseudogene 1		KIRX, KIR48, KIR2DS6, KIR3DS2P, CD158C		15580659, 15194195		A8MWS1
KIR3DS1	killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1		nkat10		8662091		Q14943
KIR3DX1	killer cell immunoglobulin-like receptor, three domains, X1	LENG12	FLJ00060		11441184		Q9H7L2
KIRREL	kin of IRRE like (Drosophila)		NEPH1	"nephrin-like protein 1"	12424224	CCDS1172, CCDS72952	Q96J84
KIRREL-IT1	KIRREL intronic transcript 1						
KIRREL2	kin of IRRE like 2 (Drosophila)		NLG1, NEPH3, FILTRIN, DKFZp564A1164, MGC15718		12837264, 12504092	CCDS12479, CCDS12480, CCDS12481	Q6UWL6
KIRREL3	kin of IRRE like 3 (Drosophila)		NEPH2, KIAA1867, KIRRE		12424224, 11347906	CCDS53723, CCDS55796, CCDS73413	Q8IZU9
KIRREL3-AS1	KIRREL3 antisense RNA 1						
KIRREL3-AS2	KIRREL3 antisense RNA 2						
KIRREL3-AS3	KIRREL3 antisense RNA 3	PRR10, NCRNA00288	FLJ40224				Q8N7Y1
KISS1	KiSS-1 metastasis-suppressor			"prepro-kisspeptin", "kisspeptin"	9192814, 9806840	CCDS41454	Q15726
KISS1R	KISS1 receptor	GPR54	HOT7T175, AXOR12		10100623	CCDS12049	Q969F8
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	PBT	CD117, SCFR, C-Kit		9027509	CCDS3496, CCDS47058	P10721
KITLG	KIT ligand	MGF	SCF, SF, Kitl, KL-1, FPH2	"mast cell growth factor", "stem cell factor", "steel factor", "familial progressive hyperpigmentation 2"	2208279, 1707188, 19375057	CCDS31867, CCDS31868	P21583
KIZ	kizuna centrosomal protein	NCRNA00153, C20orf19, PLK1S1	HT013		16980960	CCDS74705, CCDS74706, CCDS74707, CCDS74708	Q2M2Z5
KIZ-AS1	KIZ antisense RNA 1						
KL	klotho				9464267	CCDS9347	Q9UEF7
KLB	klotho beta					CCDS3451	Q86Z14
KLC1	kinesin light chain 1	KNS2	KNS2A, KLC, hKLC1S, hKLC1N, hKLC1P, hKLC1G, hKLC1R, hKLC1J, hKLC1B		8274221, 11106729	CCDS32165, CCDS41996, CCDS45168	Q07866
KLC2	kinesin light chain 2		FLJ12387		9624122	CCDS8130, CCDS44653	Q9H0B6
KLC3	kinesin light chain 3		KLC2L, KNS2B, KLCt			CCDS12660	Q6P597
KLC4	kinesin light chain 4	KNSL8	bA387M24.3			CCDS4882, CCDS4883, CCDS47429, CCDS75459	Q9NSK0
KLF1	Kruppel-like factor 1 (erythroid)		EKLF	"erythroid Kruppel-like factor"	8924208, 9119377	CCDS12285	Q13351
KLF2	Kruppel-like factor 2		LKLF		10217429, 10458913	CCDS12343	Q9Y5W3
KLF2P1	Kruppel-like factor 2 pseudogene 1						
KLF2P2	Kruppel-like factor 2 pseudogene 2						
KLF2P3	Kruppel-like factor 2 pseudogene 3						
KLF2P4	Kruppel-like factor 2 pseudogene 4						
KLF3	Kruppel-like factor 3 (basic)		BKLF	"basic Kruppel-like factor"	18391014	CCDS3444	P57682
KLF3-AS1	KLF3 antisense RNA 1		FLJ13197				
KLF3P1	Kruppel-like factor 3 (basic) pseudogene 1						
KLF3P2	Kruppel-like factor 3 (basic) pseudogene 2						
KLF4	Kruppel-like factor 4 (gut)		EZF, GKLF		9422764, 16372018	CCDS6770	O43474
KLF4P1	Kruppel-like factor 4 (gut) pseudogene 1						
KLF5	Kruppel-like factor 5 (intestinal)	BTEB2	IKLF, CKLF		8479902, 9973612	CCDS9448, CCDS66562	Q13887
KLF6	Kruppel-like factor 6	BCD1, ST12, COPEB	CPBP, GBF, Zf9, PAC1	"GC-rich binding factor"	9503030, 9685731	CCDS7060, CCDS53490	Q99612
KLF7	Kruppel-like factor 7 (ubiquitous)		UKLF		9774444	CCDS2373, CCDS59438, CCDS59439, CCDS59440	O75840
KLF7-IT1	KLF7 intronic transcript 1						
KLF7P1	kruppel-like factor 7 pseudogene 1	KLF7P					
KLF8	Kruppel-like factor 8		BKLF3, ZNF741, DXS741			CCDS14373, CCDS55428	O95600
KLF8P1	Kruppel-like factor 8 pseudogene 1						
KLF9	Kruppel-like factor 9	BTEB1			1356762	CCDS6633	Q13886
KLF10	Kruppel-like factor 10	TIEG	EGRA, TIEG1		8584037, 9721211	CCDS6294, CCDS47905	Q13118
KLF11	Kruppel-like factor 11	TIEG2	Tieg3, MODY7		9748269, 11087666	CCDS1668, CCDS54333	O14901
KLF12	Kruppel-like factor 12		AP-2rep, HSPC122, AP2REP	"KLF12 zinc finger transcriptional repressor", "AP-2rep transcription factor", "AP-2 repressor"	10704285	CCDS9449	Q9Y4X4
KLF13	Kruppel-like factor 13		RFLAT-1, BTEB3, NSLP1, FKLF-2		10415854, 10023774	CCDS10025	Q9Y2Y9
KLF14	Kruppel-like factor 14		BTEB5		17480121	CCDS5825	Q8TD94
KLF15	Kruppel-like factor 15		KKLF	"kidney-enriched Kruppel-like factor"	10982849	CCDS3036	Q9UIH9
KLF16	Kruppel-like factor 16		NSLP2, BTEB4, DRRF		11438660	CCDS12075	Q9BXK1
KLF17	Kruppel-like factor 17	ZNF393	Zfp393, FLJ40160		16460907	CCDS508	Q5JT82
KLF17P1	Kruppel-like factor 17 pseudogene 1						
KLF17P2	Kruppel-like factor 17 pseudogene 2						
KLF18	Kruppel-like factor 18				24244731		
KLHDC1	kelch domain containing 1		MST025			CCDS9692	Q8N7A1
KLHDC2	kelch domain containing 2		HCLP-1, LCP		11384994	CCDS9693	Q9Y2U9
KLHDC3	kelch domain containing 3		PEAS, hPeas, dJ20C7.3		12444059, 12606021	CCDS4880	Q9BQ90
KLHDC4	kelch domain containing 4		DKFZp434G0522			CCDS10963, CCDS54050, CCDS54051	Q8TBB5
KLHDC7A	kelch domain containing 7A		FLJ38753			CCDS185	Q5VTJ3
KLHDC7B	kelch domain containing 7B		MGC16635			CCDS14097	Q96G42
KLHDC8A	kelch domain containing 8A		FLJ10748			CCDS30985	Q8IYD2
KLHDC8B	kelch domain containing 8B		MGC35097			CCDS2791	Q8IXV7
KLHDC9	kelch domain containing 9		KARCA1	"kelch/ankyrin repeat containing cyclin A1 interacting protein"	15159402	CCDS30919, CCDS41425	Q8NEP7
KLHDC10	kelch domain containing 10		KIAA0265, slim	"scruin like at the midline homolog (Drosophila)"		CCDS5815	Q6PID8
KLHL1	kelch-like family member 1		KIAA1490, MRP2, FLJ30047	"Kelch-like protein 1", "Mayven-related protein 2"	10888605	CCDS9445, CCDS73582	Q9NR64
KLHL2	kelch-like family member 2		MAV	"mayven"	10397770, 16035103	CCDS34094, CCDS54815, CCDS54816	O95198
KLHL2P1	kelch-like family member 2 pseudogene 1		MAVP1				
KLHL3	kelch-like family member 3		KIAA1129		10843806	CCDS4192, CCDS58969, CCDS58970	Q9UH77
KLHL4	kelch-like family member 4		KIAA1687, DKELCHL, KHL4		11401425	CCDS14456, CCDS14457	Q9C0H6
KLHL5	kelch-like family member 5				11590829, 14672410	CCDS3449, CCDS33974, CCDS33975, CCDS54756	Q96PQ7
KLHL6	kelch-like family member 6		FLJ00029	"kelch-like protein KLHL6"	11214971, 12617994	CCDS3245	Q8WZ60
KLHL6-AS1	KLHL6 antisense RNA 1						
KLHL7	kelch-like family member 7		KLHL6, SBBI26, RP42	"retinitis pigmentosa 42"	19520207	CCDS5378, CCDS34609, CCDS5378, CCDS55095	Q8IXQ5
KLHL7-AS1	KLHL7 antisense RNA 1 (head to head)		PLATAK	"placental transcript antisense to KLHL7"			
KLHL8	kelch-like family member 8		KIAA1378			CCDS3617, CCDS75163, CCDS77937	Q9P2G9
KLHL9	kelch-like family member 9		KIAA1354, FLJ13568			CCDS6503	Q9P2J3
KLHL10	kelch-like family member 10		FLJ32662			CCDS42340	Q6JEL2
KLHL11	kelch-like family member 11		FLJ10572			CCDS11411	Q9NVR0
KLHL12	kelch-like family member 12		C3IP1		16547521, 24334870	CCDS1429	Q53G59
KLHL13	kelch-like family member 13	BKLHD2, KIAA1309	FLJ10262		10718198	CCDS14571, CCDS55479, CCDS55480, CCDS55481	Q9P2N7
KLHL14	kelch-like family member 14		KIAA1384	"printor"	10718198, 19535332	CCDS32813	Q9P2G3
KLHL15	kelch-like family member 15		KIAA1677		11214970, 14702039	CCDS35217	Q96M94
KLHL17	kelch-like family member 17			"actinfilin"	12063253	CCDS30550	Q6TDP4
KLHL18	kelch-like family member 18		KIAA0795, FLJ13703		9872452	CCDS33749	O94889
KLHL20	kelch-like family member 20		KLEIP, KHLHX		14668487, 20389280	CCDS1310	Q9Y2M5
KLHL21	kelch-like family member 21		KIAA0469			CCDS30575	Q9UJP4
KLHL22	kelch-like family member 22		FLJ14360, KELCHL		24067371	CCDS13780	Q53GT1
KLHL23	kelch-like family member 23		MGC2610, FLJ37812, MGC22679			CCDS2236	Q8NBE8
KLHL24	kelch-like family member 24		DRE1, FLJ20059			CCDS3246	Q6TFL4
KLHL25	kelch-like family member 25		FLJ12587, ENC2, ENC-2	"ectodermal-neural cortex 2"		CCDS10339	Q9H0H3
KLHL26	kelch-like family member 26					CCDS12384	Q53HC5
KLHL28	kelch-like family member 28	BTBD5	FLJ20081			CCDS9680, CCDS76675	Q9NXS3
KLHL29	kelch-like family member 29	KBTBD9	KIAA1921		11572484	CCDS54335	Q96CT2
KLHL30	kelch-like family member 30		FLJ43374			CCDS46555, CCDS46555	Q0D2K2
KLHL30-AS1	KLHL30 antisense RNA 1	C2orf19					Q8NEE0
KLHL31	kelch-like family member 31	KBTBD1	bA345L23.2, BKLHD6			CCDS34478	Q9H511
KLHL32	kelch-like family member 32	BKLHD5, KIAA1900				CCDS5038, CCDS69154, CCDS69155, CCDS75495	Q96NJ5
KLHL33	kelch-like family member 33					CCDS53882	A6NCF5
KLHL34	kelch-like family member 34		FLJ34960, RP11-450P7.3			CCDS14199	Q8N239
KLHL35	kelch-like family member 35		FLJ33790			CCDS44685, CCDS44685	Q6PF15
KLHL36	kelch-like family member 36	C16orf44	FLJ12543			CCDS10948, CCDS76909	Q8N4N3
KLHL38	kelch-like family member 38		C8ORFK36			CCDS43766	Q2WGJ6
KLHL40	kelch-like family member 40	KBTBD5	SRYP, NEM8	"sarcosynapsin", "nemaline myopathy type 8"	23746549	CCDS2703	Q2TBA0
KLHL41	kelch-like family member 41	KBTBD10	SARCOSIN, Krp1	"sarcomeric muscle protein"	9655184	CCDS2234	O60662
KLHL42	kelch-like family member 42	KLHDC5	KIAA1340, Ctb9		19261606	CCDS31763	Q9P2K6
KLK1	kallikrein 1		Klk6		1684954, 16800724, 16800723	CCDS12804	P06870
KLK2	kallikrein-related peptidase 2				2468530, 16800724, 16800723	CCDS12808, CCDS42597, CCDS58675	P20151
KLK3	kallikrein-related peptidase 3	APS	PSA		2456523, 2436946, 16800724, 16800723	CCDS12807, CCDS33083, CCDS46155	P07288
KLK4	kallikrein-related peptidase 4	PRSS17	EMSP, EMSP1, PSTS, KLK-L1		10077646, 10438493, 16800724, 10863090, 9465170	CCDS12809	Q9Y5K2
KLK5	kallikrein-related peptidase 5		SCTE, KLK-L2		10514489, 10608802, 1680072, 4, 16800723, 17012259	CCDS12810	Q9Y337
KLK6	kallikrein-related peptidase 6	PRSS9, PRSS18	Bssp, Klk7, neurosin		9003450, 16800724, 16800723	CCDS12811, CCDS42599	Q92876
KLK7	kallikrein-related peptidase 7	PRSS6	SCCE		8034709, 16800724, 16800723	CCDS12812, CCDS59414	P49862
KLK8	kallikrein-related peptidase 8	PRSS19	HNP, TADG14, neuropsin, ovasin		10102990, 9714609, 16800724, 16800723	CCDS12813, CCDS12814, CCDS12815, CCDS42600, CCDS74433	O60259
KLK9	kallikrein-related peptidase 9		KLK-L3		16800724, 16800723	CCDS12816	Q9UKQ9
KLK10	kallikrein-related peptidase 10	PRSSL1	NES1		8764136, 9533035, 16800724, 16800723, 10675891	CCDS12817	O43240
KLK11	kallikrein-related peptidase 11	PRSS20	TLSP		9765601, 10662548, 16800724, 16800723	CCDS12818, CCDS12819, CCDS54297	Q9UBX7
KLK12	kallikrein-related peptidase 12		KLK-L5		16800724, 16800723	CCDS12820, CCDS12821, CCDS54298	Q9UKR0
KLK13	kallikrein-related peptidase 13		KLK-L4		16800724, 16800723	CCDS12822	Q9UKR3
KLK14	kallikrein-related peptidase 14		KLK-L6		16800724, 16800723	CCDS12823	Q9P0G3
KLK15	kallikrein-related peptidase 15		HSRNASPH, ACO, prostinogen		11010966, 12439720, 16800724, 16800723	CCDS12805, CCDS12806, CCDS12806, CCDS62766	Q9H2R5
KLKB1	kallikrein B, plasma (Fletcher factor) 1	KLK3			9535413, 3521732	CCDS34120	P03952
KLKP1	kallikrein pseudogene 1		YKLK1, PsiKLK1, KLK31P	"kallikrein 31 pseudogene"	15498522, 16541416, 18196551		Q107X0
KLLN	killin, p53-regulated DNA replication inhibitor		killin		18385383	CCDS44454	B2CW77
KLRAP1	killer cell lectin-like receptor subfamily A pseudogene 1	KLRA1	Ly49, LY49L		9645365		
KLRB1	killer cell lectin-like receptor subfamily B, member 1	NKR	CD161, NKR-P1, NKR-P1A, hNKR-P1A, CLEC5B		8077657	CCDS8601	Q12918
KLRC1	killer cell lectin-like receptor subfamily C, member 1	NKG2	NKG2-A, NKG2-B, CD159a	"NKG2-1/B activating NK receptor"	9598306	CCDS8625, CCDS8626, CCDS76531	P26715
KLRC2	killer cell lectin-like receptor subfamily C, member 2		NKG2-C, CD159c		9598306	CCDS31745	P26717
KLRC3	killer cell lectin-like receptor subfamily C, member 3		NKG2-E		9598306	CCDS31744, CCDS41755	Q07444
KLRC4	killer cell lectin-like receptor subfamily C, member 4		NKG2-F		9598306	CCDS8624	O43908
KLRC4-KLRK1	KLRC4-KLRK1 readthrough						
KLRD1	killer cell lectin-like receptor subfamily D, member 1	CD94			7589107	CCDS8621, CCDS8622	Q13241
KLRF1	killer cell lectin-like receptor subfamily F, member 1		CLEC5C, NKp80		10671213	CCDS41750, CCDS76526, CCDS76527	Q9NZS2
KLRF2	killer cell lectin-like receptor subfamily F, member 2		NKp65		20194751	CCDS53743	D3W0D1
KLRG1	killer cell lectin-like receptor subfamily G, member 1		MAFA, 2F1, MAFA-L, CLEC15A	"C-type lectin domain family 15, member A"	9862378, 9842918, 16461340, 16140789	CCDS8599	Q96E93
KLRG2	killer cell lectin-like receptor subfamily G, member 2		FLJ44186, CLEC15B	"C-type lectin domain family 15, member B"		CCDS5854	A4D1S0
KLRK1	killer cell lectin-like receptor subfamily K, member 1	D12S2489E	NKG2D, KLR, NKG2-D, CD314		9683661, 2007850	CCDS8623	P26718
KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)				9237672	CCDS1618	O15229
KMS	Kabuki mental retardation syndrome						
KMT2A	lysine (K)-specific methyltransferase 2A	MLL	TRX1, HRX, ALL-1, HTRX1, CXXC7, MLL1A		1720549	CCDS31686, CCDS55791	Q03164
KMT2B	lysine (K)-specific methyltransferase 2B		KIAA0304, MLL2, TRX2, HRX2, WBP7, MLL1B, MLL4, CXXC10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) 4"	10409430, 10637508	CCDS46055	Q9UMN6
KMT2C	lysine (K)-specific methyltransferase 2C	MLL3	KIAA1506, HALR		10819331	CCDS5931	Q8NEZ4
KMT2D	lysine (K)-specific methyltransferase 2D	TNRC21, MLL2	ALR, MLL4, CAGL114		9247308	CCDS44873	O14686
KMT2E	lysine (K)-specific methyltransferase 2E	MLL5	HDCMC04P		9218106, 7672722	CCDS34723	Q8IZD2
