A0A024R0D3  B9EIQ5      P36800      Q5SPZ2      Q86YJ3      Q9BS69    
B2RMU9      O75301      Q3C1W1      Q6SWK7      Q93012      Q9P086    
B2RMV3      O75302      Q3C1W3      Q6SWM9      Q93013      Q9P088    
B2RMV5      O75306      Q3C1W4      Q6SWN0      Q93014      Q9P089    
B2RMV7      O75307      Q3C1W7      Q6SWN9      Q93015      Q9P090    
B2RMV8      O75308      Q3C1X1      Q6SWP7      Q93018      Q9P091    
B2RMV9      O75309      Q3C259      Q6SZW1      Q93021      Q9P092    
B2RMW1      O75310      Q3C2D8      Q6T1H8      Q93022      Q9P093    
B2RMW2      O75311      Q3C2G2      Q6T1H9      Q93023      Q9P094    
B2RMW3      O75312      Q3C2H4      Q6T256      Q93024      Q9P095    
B2RMW4      O75313      Q3HKR2      Q6T2V5      Q93025      Q9P098    
B2RMW5      O75314      Q3HKR3      Q6T2V6      Q93026      Q9P0A1    
B2RMW6      O75315      Q3HS85      Q6T2V7      Q93027      Q9P0A2    
B2RMX0      O75317      Q3HUP9      Q6T310      Q93028      Q9P0A4    
B2RMX5      O75319      Q3HY28      Q6T311      Q93029      Q9P0A6    
B2RMX6      O75321      Q3HY29      Q6T316      Q93030      Q9P0A7    
B2RMX7      O75323      Q3I0Y2      Q6T3A3      Q93032      Q9P0A8    
B2RMX8      O75324      Q3I4Y0      Q6T423      Q93033      Q9P0A9    
B2RMY0      O75325      Q3I5F7      Q6T4P5      Q93034      Q9P0B1    
B2RMY3      O75326      Q3I5F8      Q6T4R5      Q93035      Q9P0B3    
B2RMY6      O75327      Q3I5F9      Q6T5C2      Q93036      Q9P0B5    
B2RMZ0      O75328      Q3I768      Q6T5E5      Q93037      Q9P0B6    
B2RMZ2      O75329      Q3KN84      Q6T712      Q93038      Q9P0B7    
B2RMZ4      O75330      Q3KNP8      Q6T7F5      Q93039      Q9P0B8    
B2RMZ7      O75331      Q3KNQ1      Q6T7X2      Q93040      Q9P0B9    
B2RMZ9      O75332      Q3KNQ2      Q6T7X3      Q93042      Q9P0C0    
B2RN05      O75333      Q3KNQ6      Q6T851      Q93044      Q9P0C2    
B2RN06      O75334      Q3KNQ8      Q6T865      Q93045      Q9P0C4    
B2RN07      O75335      Q3KNQ9      Q6T888      Q93048      Q9P0C8    
B2RN09      O75336      Q3KNR1      Q6T930      Q93050      Q9P0D1    
B2RN11      O75337      Q3KNR3      Q6TAS4      Q93051      Q9P0D6    
B2RN12      O75338      Q3KNR7      Q6TCH0      Q93052      Q9P0D7    
B2RN14      O75339      Q3KNR8      Q6TCH4      Q93053      Q9P0E0    
B2RN19      O75340      Q3KNR9      Q6TCH7      Q93058      Q9P0E2    
B2RN22      O75341      Q3KNS0      Q6TCH9      Q93059      Q9P0E4    
B2RN24      O75342      Q3KNS1      Q6TDP4      Q93060      Q9P0E9    
B2RN26      O75343      Q3KNS4      Q6TDU7      Q93061      Q9P0F0    
B2RN29      O75344      Q3KNS6      Q6TE14      Q93062      Q9P0F1    
B2RN31      O75345      Q3KNS7      Q6TE15      Q93063      Q9P0F2    
B2RN34      O75346      Q3KNT0      Q6TE16      Q93064      Q9P0F3    
B2RN35      O75347      Q3KNT1      Q6TEK6      Q93066      Q9P0G1    
B2RN36      O75348      Q3KNT7      Q6TF48      Q93067      Q9P0G3    
B2RN39      O75349      Q3KNT9      Q6TFL3      Q93068      Q9P0G4    
B2RN41      O75350      Q3KNU0      Q6TFL4      Q93069      Q9P0G5    
B2RN42      O75351      Q3KNU1      Q6TFZ6      Q93070      Q9P0G6    
B2RN44      O75352      Q3KNU3      Q6TG35      Q93072      Q9P0G7    
B2RN45      O75354      Q3KNU4      Q6TGC4      Q93073      Q9P0G8    
B2RN46      O75355      Q3KNU5      Q6TLI0      Q93074      Q9P0G9    
B2RN47      O75356      Q3KNU6      Q6TLK6      Q93075      Q9P0H0    
B2RN48      O75357      Q3KNU7      Q6TME1      Q93076      Q9P0H1    
B2RN49      O75358      Q3KNV2      Q6TME2      Q93077      Q9P0H3    
B2RN50      O75359      Q3KNV3      Q6TME3      Q93078      Q9P0H4    
B2RN53      O75360      Q3KNV8      Q6TN97      Q93079      Q9P0H5    
B2RN54      O75361      Q3KNV9      Q6TNA8      Q93080      Q9P0H7    
B2RN55      O75362      Q3KNW1      Q6TNF4      Q93081      Q9P0H8    
B2RN57      O75363      Q3KNW4      Q6TNF5      Q93082      Q9P0I0    
B2RN58      O75364      Q3KNW5      Q6TNF6      Q93083      Q9P0I1    
B2RN59      O75365      Q3KNX0      Q6TNF9      Q93084      Q9P0I2    
B2RN61      O75366      Q3KNX2      Q6TNG0      Q93085      Q9P0I3    
B2RN64      O75367      Q3KP22      Q6TNG1      Q93086      Q9P0I4    
B2RN66      O75368      Q3KP23      Q6TNG2      Q93087      Q9P0I5    
B2RN68      O75369      Q3KP24      Q6TPI8      Q93088      Q9P0I6    
B2RN70      O75371      Q3KP28      Q6TPQ2      Q93089      Q9P0I7    
B2RN72      O75373      Q3KP30      Q6TQS9      Q93090      Q9P0I8    
B2RN74      O75376      Q3KP31      Q6TRH8      Q93091      Q9P0I9    
B2RN78      O75377      Q3KP35      Q6TS38      Q93094      Q9P0J0    
B2RN79      O75378      Q3KP37      Q6TTV4      Q93096      Q9P0J1    
B2RN80      O75379      Q3KP41      Q6TV07      Q93097      Q9P0J2    
B2RN81      O75380      Q3KP42      Q6TY48      Q93098      Q9P0J3    
B2RN85      O75381      Q3KP44      Q6U276      Q93099      Q9P0J4    
B2RN87      O75382      Q3KP45      Q6U2E5      Q93100      Q9P0J5    
B2RN92      O75383      Q3KP46      Q6U2E8      Q95261      Q9P0J6    
B2RN93      O75384      Q3KP48      Q6U2E9      Q95343      Q9P0J7    
B2RN94      O75385      Q3KP49      Q6U2F0      Q95344      Q9P0J8    
B2RN95      O75386      Q3KP51      Q6U2F3      Q95348      Q9P0J9    
B2RN96      O75387      Q3KP54      Q6U2F4      Q95352      Q9P0K1    
B2RN97      O75388      Q3KP55      Q6U2F6      Q95355      Q9P0K2    
B2RN99      O75389      Q3KP58      Q6U2F8      Q95359      Q9P0K7    
B2RNA1      O75390      Q3KP63      Q6U2G0      Q95362      Q9P0K8    
B2RNA2      O75391      Q3KP65      Q6U2G1      Q95365      Q9P0K9    
B2RNA4      O75392      Q3KP66      Q6U2I5      Q95366      Q9P0L0    
B2RNA8      O75393      Q3KP67      Q6U2L1      Q95367      Q9P0L1    
B2RNB1      O75394      Q3KP68      Q6U2L7      Q95368      Q9P0L2    
B2RNC2      O75395      Q3KPE7      Q6U2L9      Q95369      Q9P0L9    
B2RNC5      O75396      Q3KPE8      Q6U2M5      Q95377      Q9P0M1    
B2RNC9      O75397      Q3KPF1      Q6U387      Q95380      Q9P0M2    
B2RND1      O75398      Q3KPF2      Q6U676      Q95383      Q9P0M4    
B2RND3      O75399      Q3KPF5      Q6U736      Q95389      Q9P0M5    
B2RND5      O75400      Q3KPF6      Q6U7Q0      Q95392      Q9P0M6    
B2RND9      O75401      Q3KPF9      Q6U836      Q95460      Q9P0M8    
B2RNE0      O75403      Q3KPG4      Q6U841      Q95461      Q9P0M9    
B2RNE2      O75404      Q3KPG8      Q6U8A5      Q95463      Q9P0N0    
B2RNE3      O75405      Q3KPG9      Q6U949      Q95464      Q9P0N1    
B2RNE4      O75406      Q3KPH0      Q6U9V2      Q95603      Q9P0N5    
B2RNE5      O75407      Q3KPH3      Q6U9Y2      Q95604      Q9P0N6    
B2RNE6      O75408      Q3KPH7      Q6U9Y3      Q95H87      Q9P0N7    
B2RNE8      O75409      Q3KPH9      Q6UAL0      Q95HA2      Q9P0N8    
B2RNE9      O75410      Q3KPI0      Q6UB16      Q95HA3      Q9P0N9    
B2RNF0      O75411      Q3KPI1      Q6UB28      Q95HA8      Q9P0P0    
B2RNF2      O75412      Q3KPI3      Q6UB35      Q95HB8      Q9P0P2    
B2RNF4      O75413      Q3KPI5      Q6UB98      Q95HC0      Q9P0P3    
B2RNF6      O75414      Q3KPI6      Q6UB99      Q95HC1      Q9P0P4    
B2RNF8      O75415      Q3KPI7      Q6UBD1      Q95HD6      Q9P0P5    
B2RNG3      O75416      Q3KPJ0      Q6UBJ0      Q95HK0      Q9P0P6    
B2RNG5      O75417      Q3KPJ1      Q6UC77      Q95HK1      Q9P0P7    
B2RNH2      O75418      Q3KPJ2      Q6UDQ1      Q95HL0      Q9P0P8    
B2RNH4      O75419      Q3KPJ5      Q6UDR6      Q95HL1      Q9P0P9    
B2RNH6      O75420      Q3KQR7      Q6UDR8      Q95HL5      Q9P0Q0    
B2RNH8      O75421      Q3KQR8      Q6UE04      Q95HL6      Q9P0Q1    
B2RNH9      O75422      Q3KQS1      Q6UE05      Q95HM8      Q9P0Q2    
B2RNI2      O75423      Q3KQS4      Q6UEE1      Q95HM9      Q9P0Q3    
B2RNI5      O75424      Q3KQS5      Q6UG50      Q95HN4      Q9P0Q4    
B2RNI7      O75425      Q3KQS8      Q6UJ77      Q95HN5      Q9P0Q7    
B2RNJ1      O75426      Q3KQS9      Q6UKI4      Q95HN6      Q9P0Q8    
B2RNJ3      O75427      Q3KQT0      Q6UKL9      Q95IA6      Q9P0R0    
B2RNJ5      O75429      Q3KQT2      Q6UL00      Q95IB2      Q9P0R1    
B2RNJ6      O75430      Q3KQT4      Q6ULP2      Q95IB8      Q9P0R2    
B2RNJ8      O75431      Q3KQT8      Q6ULS0      Q95IE3      Q9P0R3    
B2RNK0      O75432      Q3KQU0      Q6ULS1      Q95IE5      Q9P0R6    
B2RNK3      O75433      Q3KQU2      Q6ULS2      Q95IF9      Q9P0R8    
B2RNK6      O75434      Q3KQU3      Q6UN15      Q95IG0      Q9P0R9    
B2RNK7      O75436      Q3KQU7      Q6UN19      Q95IG2      Q9P0S0    
B2RNK8      O75437      Q3KQU8      Q6UN20      Q95IH5      Q9P0S1    
B2RNL0      O75438      Q3KQU9      Q6UN26      Q95IT6      Q9P0S2    
B2RNL2      O75439      Q3KQV0      Q6UN61      Q95IT7      Q9P0S3    
B2RNL4      O75442      Q3KQV3      Q6UP07      Q95IT8      Q9P0S4    
B2RNL5      O75443      Q3KQV4      Q6UP08      Q95IY7      Q9P0S5    
B2RNL7      O75444      Q3KQV7      Q6UPP1      Q95IZ5      Q9P0S6    
B2RNL9      O75445      Q3KQV9      Q6UPR7      Q95J00      Q9P0S8    
B2RNM0      O75446      Q3KQW1      Q6UPU6      Q96818      Q9P0S9    
B2RNM1      O75447      Q3KQW2      Q6UQ24      Q96831      Q9P0T2    
B2RNM3      O75448      Q3KQW3      Q6UQ25      Q96893      Q9P0T3    
B2RNM5      O75449      Q3KQW4      Q6UQ27      Q96895      Q9P0T4    
B2RNM7      O75450      Q3KQX0      Q6UQ28      Q96896      Q9P0T6    
B2RNM8      O75451      Q3KQX2      Q6UQ80      Q96912      Q9P0T7    
B2RNM9      O75452      Q3KQX4      Q6UR93      Q969D7      Q9P0T9    
B2RNN0      O75453      Q3KQX5      Q6URK5      Q969D8      Q9P0U1    
B2RNN1      O75454      Q3KQX6      Q6URK7      Q969D9      Q9P0U3    
B2RNN2      O75455      Q3KQX8      Q6URK8      Q969E0      Q9P0U4    
B2RNN3      O75457      Q3KQX9      Q6URW7      Q969E1      Q9P0U6    
B2RNN4      O75458      Q3KQY2      Q6UTX4      Q969E2      Q9P0U7    
B2RNN6      O75459      Q3KQY5      Q6UTX5      Q969E3      Q9P0U8    
B2RNN8      O75460      Q3KQY7      Q6UTX6      Q969E4      Q9P0U9    
B2RNP2      O75461      Q3KQY9      Q6UUV7      Q969E5      Q9P0V0    
B2RNP3      O75462      Q3KQZ0      Q6UUV8      Q969E6      Q9P0V1    
B2RNP5      O75463      Q3KQZ1      Q6UUV9      Q969E7      Q9P0V2    
B2RNP7      O75464      Q3KQZ2      Q6UV18      Q969E8      Q9P0V3    
B2RNP8      O75465      Q3KQZ3      Q6UV20      Q969E9      Q9P0V5    
B2RNQ3      O75466      Q3KQZ4      Q6UV21      Q969F0      Q9P0V6    
B2RNQ4      O75467      Q3KQZ5      Q6UV22      Q969F1      Q9P0V7    
B2RNQ5      O75468      Q3KR04      Q6UVJ0      Q969F2      Q9P0V8    
B2RNQ6      O75469      Q3KR06      Q6UVK1      Q969F4      Q9P0V9    
B2RNQ7      O75471      Q3KR16      Q6UVM3      Q969F5      Q9P0W0    
B2RNQ9      O75472      Q3KR17      Q6UVW7      Q969F6      Q9P0W2    
B2RNR0      O75473      Q3KR25      Q6UVW8      Q969F7      Q9P0W3    
B2RNR1      O75474      Q3KR29      Q6UVW9      Q969F8      Q9P0W4    
B2RNR2      O75475      Q3KR34      Q6UVX1      Q969F9      Q9P0W5    
B2RNR4      O75476      Q3KR35      Q6UVX2      Q969G0      Q9P0W6    
B2RNR5      O75477      Q3KR37      Q6UVX6      Q969G1      Q9P0W7    
B2RNR7      O75478      Q3KR39      Q6UVX7      Q969G2      Q9P0W8    
B2RNR9      O75479      Q3KR40      Q6UVY3      Q969G3      Q9P0W9    
B2RNS0      O75480      Q3KR41      Q6UVY4      Q969G4      Q9P0X0    
B2RNS1      O75481      Q3KR42      Q6UVY6      Q969G5      Q9P0X1    
B2RNS2      O75482      Q3KR43      Q6UVY7      Q969G6      Q9P0X2    
B2RNS3      O75483      Q3KRA1      Q6UVY8      Q969G7      Q9P0X4    
B2RNS5      O75485      Q3KRA3      Q6UVZ0      Q969G8      Q9P0X5    
B2RNS7      O75486      Q3KRA5      Q6UVZ2      Q969G9      Q9P0X6    
B2RNS9      O75487      Q3KRA6      Q6UVZ4      Q969H0      Q9P0X7    
B2RNT2      O75488      Q3KRA8      Q6UVZ6      Q969H2      Q9P0X8    
B2RNT3      O75489      Q3KRA9      Q6UVZ8      Q969H3      Q9P0X9    
B2RNT4      O75490      Q3KRB2      Q6UVZ9      Q969H4      Q9P0Y0    
B2RNU0      O75491      Q3KRB3      Q6UW01      Q969H5      Q9P0Y1    
B2RNU4      O75492      Q3KRB5      Q6UW02      Q969H6      Q9P0Y2    
B2RNU5      O75493      Q3KRB7      Q6UW07      Q969H7      Q9P0Y3    
B2RNU7      O75494      Q3KRB8      Q6UW08      Q969H8      Q9P0Y4    
B2RNU9      O75495      Q3KRB9      Q6UW10      Q969H9      Q9P0Y5    
B2RNV1      O75496      Q3KRC1      Q6UW11      Q969I1      Q9P0Y6    
B2RNV3      O75497      Q3KRC2      Q6UW14      Q969I2      Q9P0Y7    
B2RNV4      O75498      Q3KRG4      Q6UW15      Q969I3      Q9P0Y8    
B2RNV5      O75499      Q3KRG6      Q6UW18      Q969I4      Q9P0Z0    
B2RNV6      O75500      Q3KRG7      Q6UW19      Q969I5      Q9P0Z1    
B2RNV8      O75501      Q3KS08      Q6UW20      Q969I6      Q9P0Z2    
B2RNV9      O75502      Q3KS09      Q6UW22      Q969I7      Q9P0Z3    
B2RNW3      O75503      Q3KSN9      Q6UW26      Q969I8      Q9P0Z4    
B2RNW5      O75504      Q3KSP0      Q6UW27      Q969J0      Q9P0Z5    
B2RNW7      O75506      Q3KSP1      Q6UW28      Q969J1      Q9P0Z6    
B2RNW8      O75507      Q3KSP3      Q6UW30      Q969J2      Q9P0Z8    
B2RNX0      O75508      Q3KSP4      Q6UW31      Q969J3      Q9P0Z9    
B2RNX2      O75509      Q3KSP5      Q6UW32      Q969J4      Q9P101    
B2RNX3      O75510      Q3KSP9      Q6UW36      Q969J5      Q9P102    
B2RNX5      O75511      Q3KSQ2      Q6UW40      Q969J6      Q9P103    
B2RNX7      O75512      Q3KSQ3      Q6UW42      Q969J8      Q9P104    
B2RNY0      O75513      Q3KSQ5      Q6UW44      Q969J9      Q9P105    
B2RNY2      O75514      Q3KSQ7      Q6UW45      Q969K0      Q9P106    
B2RNY4      O75515      Q3KSR3      Q6UW49      Q969K1      Q9P107    
B2RNY6      O75516      Q3KSR5      Q6UW52      Q969K2      Q9P109    
B2RNY8      O75517      Q3KSR7      Q6UW53      Q969K3      Q9P110    
B2RNZ2      O75518      Q3KSR8      Q6UW54      Q969K4      Q9P111    
B2RNZ3      O75519      Q3KSR9      Q6UW56      Q969K5      Q9P112    
B2RNZ9      O75520      Q3KSS1      Q6UW59      Q969K6      Q9P113    
B2RP03      O75521      Q3KSS3      Q6UW60      Q969K7      Q9P114    
B2RP06      O75522      Q3KSS4      Q6UW63      Q969K8      Q9P115    
B2RP10      O75523      Q3KSS5      Q6UW65      Q969K9      Q9P118    
B2RP11      O75524      Q3KSS7      Q6UW68      Q969L0      Q9P120    
B2RP16      O75525      Q3KSS8      Q6UW70      Q969L2      Q9P121    
B2RP19      O75526      Q3KST0      Q6UW71      Q969L3      Q9P122    
B2RP20      O75527      Q3KST1      Q6UW73      Q969L4      Q9P123    
B2RP21      O75528      Q3KST2      Q6UW77      Q969L5      Q9P124    
B2RP24      O75529      Q3KST3      Q6UW78      Q969L6      Q9P126    
B2RP27      O75530      Q3KST4      Q6UW79      Q969L7      Q9P127    
B2RP29      O75531      Q3KST5      Q6UW82      Q969L8      Q9P128    
B2RP32      O75532      Q3KST7      Q6UW83      Q969L9      Q9P129    
B2RP33      O75533      Q3KSU0      Q6UW85      Q969M1      Q9P130    
B2RP35      O75534      Q3KSU1      Q6UW86      Q969M2      Q9P131    
B2RP37      O75535      Q3KSU2      Q6UW87      Q969M3      Q9P133    
B2RP39      O75536      Q3KSU3      Q6UW88      Q969M4      Q9P152    
B2RP42      O75537      Q3KSU5      Q6UW89      Q969M5      Q9P157    
B2RP44      O75538      Q3KSU7      Q6UW90      Q969M6      Q9P158    
B2RP45      O75539      Q3KSU8      Q6UW91      Q969M7      Q9P163    
B2RP49      O75540      Q3KSV2      Q6UW92      Q969M8      Q9P177    
B2RP50      O75541      Q3KSV4      Q6UW93      Q969M9      Q9P178    
B2RP53      O75542      Q3KT79      Q6UW94      Q969N0      Q9P182    
B2RP54      O75543      Q3KTM1      Q6UW97      Q969N1      Q9P189    
B2RP56      O75545      Q3KU23      Q6UW99      Q969N2      Q9P190    
B2RP57      O75547      Q3KU24      Q6UWA3      Q969N3      Q9P196    
B2RP59      O75548      Q3KU25      Q6UWA5      Q969N4      Q9P198    
B2RP62      O75549      Q3KU26      Q6UWA7      Q969N5      Q9P1A2    
B2RP63      O75550      Q3L0T1      Q6UWA8      Q969N6      Q9P1A4    
B2RP66      O75551      Q3L1I0      Q6UWA9      Q969N7      Q9P1A6    
B2RP67      O75553      Q3L1R4      Q6UWB0      Q969N9      Q9P1A7    
B2RP68      O75554      Q3L1R5      Q6UWB1      Q969P0      Q9P1A9    
B2RP69      O75556      Q3L1R6      Q6UWB2      Q969P1      Q9P1B0    
B2RP70      O75557      Q3L1R7      Q6UWB4      Q969P2      Q9P1B1    
B2RP72      O75558      Q3L1R8      Q6UWB9      Q969P3      Q9P1B3    
B2RP76      O75559      Q3L1S0      Q6UWC2      Q969P5      Q9P1B4    
B2RP78      O75560      Q3L6K5      Q6UWC5      Q969P6      Q9P1B5    
B2RP80      O75561      Q3L8A4      Q6UWC6      Q969P7      Q9P1B6    
B2RP83      O75563      Q3L8N4      Q6UWC7      Q969P9      Q9P1B7    
B2RP85      O75564      Q3L8N5      Q6UWC9      Q969Q0      Q9P1C3    
B2RP89      O75565      Q3L8U1      Q6UWD1      Q969Q1      Q9P1D3    
B2RP91      O75567      Q3LA84      Q6UWD2      Q969Q2      Q9P1D4    
B2RP93      O75568      Q3LA87      Q6UWD3      Q969Q3      Q9P1D8    
B2RP97      O75569      Q3LA88      Q6UWD4      Q969Q4      Q9P1E3    
B2RP98      O75570      Q3LA89      Q6UWD7      Q969Q5      Q9P1F3    
B2RPA0      O75571      Q3LA90      Q6UWD8      Q969Q6      Q9P1G2    
B2RPA3      O75572      Q3LA91      Q6UWD9      Q969Q7      Q9P1G3    
B2RPA6      O75573      Q3LA92      Q6UWE0      Q969Q8      Q9P1G7    
B2RPA7      O75574      Q3LA93      Q6UWE1      Q969R0      Q9P1I6    
B2RPA8      O75575      Q3LA94      Q6UWE3      Q969R1      Q9P1I7    
B2RPA9      O75576      Q3LA95      Q6UWE4      Q969R2      Q9P1J3    
B2RPB1      O75577      Q3LA96      Q6UWE5      Q969R3      Q9P1J5    
B2RPB2      O75578      Q3LA97      Q6UWE7      Q969R4      Q9P1K5    
B2RPB3      O75580      Q3LA98      Q6UWF0      Q969R5      Q9P1L0    
B2RPB5      O75581      Q3LA99      Q6UWF1      Q969R6      Q9P1L2    
B2RPB7      O75582      Q3LAA0      Q6UWF2      Q969R8      Q9P1L3    
B2RPB9      O75583      Q3LAA1      Q6UWF3      Q969R9      Q9P1L4    
B2RPC4      O75584      Q3LAA2      Q6UWF5      Q969S0      Q9P1L7    
B2RPC9      O75585      Q3LFD5      Q6UWF7      Q969S1      Q9P1L8    
B2RPD0      O75586      Q3LFQ0      Q6UWF9      Q969S2      Q9P1M6    
B2RPD2      O75587      Q3LHN0      Q6UWG1      Q969S3      Q9P1M7    
B2RPD4      O75590      Q3LHN1      Q6UWG8      Q969S4      Q9P1M8    
B2RPD6      O75592      Q3LHN2      Q6UWH0      Q969S5      Q9P1M9    
B2RPD7      O75593      Q3LHW8      Q6UWH3      Q969S6      Q9P1N0    
B2RPD9      O75594      Q3LI54      Q6UWH4      Q969S7      Q9P1P0    
B2RPE1      O75595      Q3LI56      Q6UWH6      Q969S8      Q9P1P2    
B2RPE2      O75596      Q3LI57      Q6UWH7      Q969S9      Q9P1P3    
B2RPE3      O75597      Q3LI58      Q6UWI2      Q969T0      Q9P1P4    
B2RPE7      O75598      Q3LI59      Q6UWI4      Q969T1      Q9P1P5    
B2RPE8      O75599      Q3LI60      Q6UWI5      Q969T2      Q9P1P6    
B2RPF1      O75600      Q3LI61      Q6UWI6      Q969T3      Q9P1P7    
B2RPF2      O75602      Q3LI62      Q6UWI8      Q969T4      Q9P1P8    
B2RPF4      O75603      Q3LI63      Q6UWI9      Q969T5      Q9P1P9    
B2RPF7      O75604      Q3LI64      Q6UWJ1      Q969T6      Q9P1Q0    
B2RPF8      O75605      Q3LI66      Q6UWJ3      Q969T7      Q9P1Q1    
B2RPG0      O75606      Q3LI67      Q6UWJ4      Q969T8      Q9P1Q2    
B2RPG1      O75607      Q3LI68      Q6UWJ5      Q969T9      Q9P1Q3    
B2RPG2      O75608      Q3LI70      Q6UWJ7      Q969U0      Q9P1Q4    
B2RPG6      O75609      Q3LI71      Q6UWJ8      Q969U1      Q9P1Q5    
B2RPG8      O75610      Q3LI72      Q6UWJ9      Q969U2      Q9P1Q6    
B2RPH1      O75611      Q3LI73      Q6UWK1      Q969U3      Q9P1Q7    
B2RPH4      O75613      Q3LI75      Q6UWK2      Q969U4      Q9P1Q8    
B2RPH5      O75614      Q3LI76      Q6UWK6      Q969U5      Q9P1Q9    
B2RPH7      O75615      Q3LI77      Q6UWK7      Q969U6      Q9P1R0    
B2RPH9      O75616      Q3LI78      Q6UWK8      Q969U7      Q9P1R2    
B2RPI0      O75617      Q3LI79      Q6UWK9      Q969U8      Q9P1R4    
B2RPI2      O75618      Q3LI81      Q6UWL2      Q969U9      Q9P1R5    
B2RPI5      O75619      Q3LI83      Q6UWL3      Q969V0      Q9P1R9    
B2RPI6      O75620      Q3LIA4      Q6UWL5      Q969V1      Q9P1S0    
B2RPI9      O75621      Q3LIA5      Q6UWL6      Q969V2      Q9P1S1    
B2RPJ0      O75622      Q3LIA6      Q6UWL7      Q969V3      Q9P1S3    
B2RPJ1      O75623      Q3LIB0      Q6UWL8      Q969V4      Q9P1S4    
B2RPJ3      O75624      Q3LIB5      Q6UWM1      Q969V5      Q9P1S5    
B2RPJ5      O75625      Q3LIB6      Q6UWM2      Q969V6      Q9P1S6    
B2RPJ8      O75626      Q3LIB8      Q6UWM5      Q969V7      Q9P1S7    
B2RPK0      O75628      Q3LIC0      Q6UWM7      Q969V8      Q9P1S8    
B2RPK2      O75629      Q3LIC2      Q6UWM9      Q969V9      Q9P1S9    
B2RPK4      O75630      Q3LIC3      Q6UWN0      Q969W0      Q9P1T3    
B2RPK5      O75631      Q3LIC4      Q6UWN1      Q969W1      Q9P1T6    
B2RPK7      O75634      Q3LIC5      Q6UWN2      Q969W2      Q9P1T7    
B2RPK8      O75635      Q3LIC7      Q6UWN3      Q969W3      Q9P1T9    
B2RPK9      O75636      Q3LID0      Q6UWN4      Q969W4      Q9P1U0    
B2RPL0      O75637      Q3LID1      Q6UWN5      Q969W5      Q9P1U1    
B2RPL2      O75638      Q3LID2      Q6UWN7      Q969W6      Q9P1U2    
B2RPL4      O75641      Q3LID5      Q6UWN8      Q969W7      Q9P1U4    
B2RPL5      O75643      Q3LID6      Q6UWP0      Q969W8      Q9P1U5    
B2RPL6      O75644      Q3LIE2      Q6UWP1      Q969W9      Q9P1U6    
B2RPL7      O75645      Q3LIE4      Q6UWP2      Q969X0      Q9P1U7    
B2RPL9      O75648      Q3LIE5      Q6UWP3      Q969X1      Q9P1U8    
B2RPM1      O75650      Q3LIE8      Q6UWP6      Q969X2      Q9P1U9    
B2RPM5      O75654      Q3LIF2      Q6UWP7      Q969X3      Q9P1V0    
B2RPM6      O75655      Q3LIF5      Q6UWP8      Q969X4      Q9P1V1    
B2RPM7      O75658      Q3LIG1      Q6UWP9      Q969X5      Q9P1V2    
B2RPN0      O75663      Q3LR53      Q6UWQ1      Q969X6      Q9P1V3    
B2RPN1      O75664      Q3LR69      Q6UWQ5      Q969X7      Q9P1V4    
B2RPN6      O75665      Q3LR70      Q6UWQ6      Q969X8      Q9P1V5    
B2RPN7      O75666      Q3LRJ0      Q6UWQ7      Q969X9      Q9P1V6    
B2RPN9      O75667      Q3LRJ6      Q6UWR7      Q969Y0      Q9P1V7    
B2RPP2      O75670      Q3LRJ7      Q6UWR8      Q969Y1      Q9P1V8    
B2RPP4      O75671      Q3LRT2      Q6UWR9      Q969Y2      Q9P1V9    
B2RPP6      O75672      Q3LRW1      Q6UWS1      Q969Y3      Q9P1W0    
B2RPP7      O75673      Q3LRW2      Q6UWS3      Q969Y4      Q9P1W1    
B2RPP8      O75674      Q3LRW3      Q6UWS4      Q969Y5      Q9P1W2    
B2RPQ2      O75675      Q3LRW4      Q6UWS5      Q969Y8      Q9P1W3    
B2RPQ5      O75676      Q3LRW5      Q6UWS6      Q969Y9      Q9P1W4    
B2RPQ6      O75677      Q3LSM7      Q6UWS7      Q969Z0      Q9P1W5    
B2RPQ7      O75678      Q3LTM6      Q6UWT1      Q969Z1      Q9P1W7    
B2RPQ9      O75679      Q3LU47      Q6UWT2      Q969Z3      Q9P1W8    
B2RPR0      O75680      Q3LUA8      Q6UWT4      Q969Z4      Q9P1W9    
B2RPR2      O75681      Q3LUJ0      Q6UWT6      Q969Z5      Q9P1X1    
B2RPR3      O75682      Q3LUJ1      Q6UWT9      Q969Z6      Q9P1X2    
B2RTP8      O75683      Q3LX95      Q6UWU0      Q969Z7      Q9P1X3    
B2RTP9      O75684      Q3LX96      Q6UWU2      Q969Z8      Q9P1X4    
B2RTQ1      O75685      Q3LX97      Q6UWU3      Q969Z9      Q9P1X5    
B2RTQ3      O75686      Q3LXA3      Q6UWU4      Q96A00      Q9P1X6    
B2RTQ6      O75687      Q3MHC7      Q6UWU5      Q96A02      Q9P1X7    
B2RTQ8      O75688      Q3MHD2      Q6UWU6      Q96A03      Q9P1X8    
B2RTQ9      O75689      Q3MHD3      Q6UWU7      Q96A04      Q9P1X9    
B2RTR0      O75690      Q3MHD5      Q6UWU9      Q96A05      Q9P1Y1    
B2RTR1      O75691      Q3MHD6      Q6UWV0      Q96A06      Q9P1Y2    
B2RTR3      O75694      Q3MHD8      Q6UWV2      Q96A07      Q9P1Y4    
B2RTR5      O75695      Q3MHD9      Q6UWV4      Q96A08      Q9P1Y5    
